danceability,energy,key,loudness,mode_,speechiness,acousticness,instrumentalness,liveness,tempo,duration_ms,time_signature,playlist
0.666,0.7,2,-10.143,1,0.0872,0.255,0.532,0.168,129.938,254360,4,0
0.646,0.374,2,-11.433,1,0.05,0.408,0.142,0.0907,139.923,187533,4,0
0.739,0.56,5,-7.774,1,0.0864,0.645,1.44e-05,0.118,119.953,186070,4,0
0.691,0.798,10,-5.61,1,0.0471,0.114,1.27e-05,0.11,123.93,296064,4,0
0.663,0.444,11,-11.214,0,0.0338,0.274,0.659,0.388,122.974,240493,4,0
0.631,0.811,5,-3.749,0,0.027,0.0596,0.00887,0.295,90.248,239093,4,0
0.498,0.721,10,-5.232,1,0.0282,0.136,0.7,0.0933,140.027,226440,4,0
0.621,0.421,10,-11.834,1,0.0286,0.677,0.351,0.0615,129.958,245133,4,0
0.814,0.851,0,-6.618,1,0.0735,0.0538,0.0815,0.119,104.043,130839,4,0
0.311,0.463,6,-10.838,1,0.0601,0.606,2.15e-05,0.263,159.401,214893,4,0
0.731,0.502,4,-10.285,0,0.0721,0.0163,0.0341,0.169,130.093,201446,4,0
0.478,0.684,1,-3.316,1,0.0402,0.338,0.34,0.35,162.562,263734,4,0
0.395,0.31,7,-20.734,1,0.0509,0.886,0.694,0.103,181.88,178773,3,0
0.526,0.877,3,-4.369,0,0.033,0.172,0.0108,0.223,145.568,255067,3,0
0.677,0.545,6,-6.943,0,0.0316,0.0397,0.0878,0.497,120.017,345500,4,0
0.935,0.355,10,-10.332,0,0.0648,0.768,0.148,0.25,122.018,194267,4,0
0.684,0.477,1,-9.458,1,0.14,0.886,0.366,0.103,149.89,223900,3,0
0.746,0.531,11,-7.882,0,0.034,0.443,0.394,0.167,126.975,232569,4,0
0.552,0.394,0,-8.141,1,0.0367,0.116,0.0152,0.124,109.958,269632,4,0
0.434,0.563,11,-6.784,1,0.0268,0.0197,0.000824,0.128,104.183,235373,4,0
0.753,0.826,7,-8.206,1,0.0367,0.174,6.58e-06,0.99,135.0,283845,4,0
0.643,0.437,2,-9.407,0,0.138,0.701,1.15e-06,0.109,98.934,174545,4,0
0.717,0.484,5,-8.001,0,0.0264,0.209,0.000732,0.328,130.988,286000,4,0
0.809,0.541,3,-6.525,1,0.252,0.855,0.000977,0.142,92.132,94933,4,0
0.837,0.678,1,-7.696,1,0.0357,0.0894,0.137,0.107,130.014,115928,4,0
0.783,0.382,10,-10.352,1,0.0274,0.74,0.000192,0.461,125.022,235912,4,0
0.573,0.473,8,-10.839,0,0.0268,0.0944,0.397,0.199,77.494,227653,4,0
0.625,0.659,0,-5.669,1,0.0337,0.12,0.0,0.17,113.551,198961,4,0
0.514,0.474,7,-5.617,1,0.0238,0.34,0.00105,0.123,98.082,192867,4,0
0.64,0.548,7,-6.965,1,0.147,0.543,3.1e-06,0.303,148.077,212495,4,0
0.771,0.329,0,-12.227,0,0.0382,0.634,0.0,0.112,111.09,109871,4,0
0.287,0.769,11,-4.853,1,0.122,0.17,8.7e-05,0.146,78.042,213000,4,0
0.816,0.543,6,-10.02,0,0.11,0.481,0.328,0.109,100.006,272737,4,0
0.498,0.419,7,-9.285,0,0.111,0.785,3.68e-05,0.568,137.439,314000,4,0
0.534,0.6,5,-9.138,0,0.28,0.505,0.316,0.188,202.086,210653,4,0
0.291,0.112,8,-21.249,0,0.0345,0.902,0.19,0.102,82.979,340567,4,0
0.489,0.121,6,-11.402,0,0.0342,0.96,0.0,0.115,135.426,146760,4,0
0.554,0.718,1,-8.405,1,0.0509,0.0119,0.136,0.339,149.748,219984,4,0
0.482,0.678,6,-6.614,0,0.034,0.129,0.00468,0.188,130.014,298184,4,0
0.437,0.526,11,-5.876,0,0.174,0.643,0.0,0.325,76.162,319959,4,0
0.553,0.743,1,-6.16,0,0.279,0.0143,0.0,0.116,83.567,154122,4,0
0.565,0.726,0,-6.715,1,0.0548,0.00181,3.06e-06,0.103,178.078,198627,4,0
0.804,0.582,9,-6.068,0,0.0265,0.592,0.00118,0.0802,109.041,327199,4,0
0.764,0.24,0,-11.229,1,0.104,0.861,0.00681,0.101,76.019,148563,4,0
0.861,0.647,7,-7.425,1,0.0675,0.594,0.661,0.114,158.037,133680,4,0
0.667,0.677,0,-8.154,1,0.0318,0.526,2.64e-05,0.129,131.768,161613,4,0
0.503,0.329,0,-11.404,1,0.0338,0.804,0.31,0.165,61.662,200680,4,0
0.703,0.583,10,-7.632,0,0.0607,0.0567,0.0996,0.0867,138.904,172707,4,0
0.52,0.304,11,-15.255,0,0.0284,0.816,0.366,0.0948,103.981,231640,4,0
0.596,0.362,3,-11.879,0,0.0535,0.735,0.00216,0.654,132.067,316188,4,0
0.609,0.573,11,-11.871,1,0.247,0.359,0.423,0.596,109.8,209840,4,0
0.633,0.565,11,-11.125,1,0.0614,0.856,0.00542,0.381,109.951,325155,4,0
0.604,0.852,5,-7.159,0,0.106,0.0135,0.000102,0.441,161.958,198129,4,0
0.573,0.639,0,-7.143,1,0.0247,0.784,0.633,0.0923,89.575,248707,4,0
0.579,0.232,8,-18.228,1,0.0434,0.395,0.0553,0.344,127.151,230625,4,0
0.755,0.445,11,-13.343,0,0.0516,0.821,0.566,0.11,113.52,230148,4,0
0.32,0.324,8,-16.613,1,0.03,0.887,0.202,0.119,182.057,329361,3,0
0.756,0.549,7,-7.823,1,0.0475,0.705,0.0141,0.26,106.99,222309,3,0
0.705,0.487,0,-8.009,0,0.0312,0.0323,0.276,0.104,104.981,180163,4,0
0.505,0.882,1,-6.051,0,0.0405,0.0123,0.462,0.255,112.983,231680,4,0
0.43,0.358,9,-10.477,1,0.0334,0.948,0.00108,0.104,100.211,285947,4,0
0.383,0.513,6,-5.377,0,0.0278,0.125,0.000123,0.241,108.536,254520,4,0
0.213,0.531,8,-15.255,1,0.0849,0.866,0.94,0.0932,190.136,295818,4,0
0.578,0.877,10,-8.182,1,0.0372,0.00767,0.000158,0.111,90.011,163608,4,0
0.504,0.552,4,-7.314,1,0.0389,0.406,0.0,0.494,147.594,207720,4,0
0.73,0.676,9,-4.436,1,0.0467,0.00894,0.385,0.0534,93.922,248973,4,0
0.68,0.613,1,-5.959,1,0.0612,0.0319,0.236,0.073,58.099,273547,4,0
0.816,0.255,6,-10.016,0,0.0416,0.774,0.00684,0.114,89.922,155528,4,0
0.651,0.944,2,-5.48,1,0.0381,0.0855,0.145,0.116,119.983,263440,4,0
0.67,0.528,8,-9.372,0,0.0323,0.0565,0.00117,0.102,87.965,278311,4,0
0.629,0.823,1,-5.744,1,0.0597,0.35,0.039,0.0801,169.961,223773,4,0
0.547,0.486,5,-8.433,1,0.0661,0.162,0.00569,0.147,80.565,260923,4,0
0.541,0.334,2,-10.788,1,0.0282,0.593,0.131,0.112,131.385,408285,4,0
0.654,0.644,0,-7.672,1,0.0355,0.104,0.0468,0.64,127.848,310184,4,0
0.621,0.376,2,-10.832,1,0.0552,0.471,0.0289,0.102,139.842,273864,4,0
0.598,0.71,0,-6.839,0,0.0272,0.0476,1.77e-05,0.1,97.976,274294,4,0
0.468,0.513,9,-7.683,1,0.0282,0.702,0.000119,0.174,117.933,252200,3,0
0.434,0.384,1,-11.972,1,0.0294,0.371,0.935,0.13,100.073,251573,4,0
0.67,0.956,1,-4.381,1,0.16,0.177,3.65e-05,0.726,173.966,221067,4,0
0.77,0.335,8,-12.704,1,0.0387,0.934,0.457,0.0621,121.988,209309,4,0
0.746,0.632,6,-7.32,0,0.0462,0.00252,0.859,0.542,103.612,190999,4,0
0.421,0.666,1,-4.323,0,0.0376,0.26,0.909,0.119,90.795,154147,1,0
0.335,0.459,7,-10.36,1,0.0433,0.851,0.00233,0.0946,150.772,302493,3,0
0.721,0.648,6,-8.438,1,0.0387,0.231,0.0859,0.0764,94.897,307400,4,0
0.526,0.501,7,-11.754,1,0.0394,0.172,0.365,0.117,130.095,254771,4,0
0.464,0.82,2,-5.802,0,0.0487,0.0155,0.00748,0.361,115.007,232328,4,0
0.684,0.394,5,-10.165,0,0.148,0.47,0.00321,0.109,105.788,252533,4,0
0.83,0.387,11,-12.418,0,0.139,0.539,0.0,0.075,117.993,202537,4,0
0.732,0.504,4,-10.276,0,0.072,0.0158,0.031,0.166,130.084,201446,4,0
0.667,0.428,6,-8.911,0,0.264,0.245,0.0,0.144,119.599,184562,4,0
0.271,0.486,0,-11.956,0,0.0407,0.351,0.156,0.0894,179.826,246704,3,0
0.791,0.42,1,-13.289,0,0.0832,0.413,0.116,0.111,93.225,429372,4,0
0.518,0.385,9,-11.125,0,0.0286,0.64,0.000536,0.0931,100.878,405027,4,0
0.69,0.743,2,-7.527,1,0.0787,0.554,0.372,0.298,94.55,177656,4,0
0.552,0.501,2,-7.742,0,0.0918,0.921,0.047,0.284,74.849,356960,4,0
0.771,0.495,3,-10.294,0,0.0334,0.666,0.0118,0.107,102.705,275907,4,0
0.746,0.468,9,-9.543,1,0.0313,0.57,0.00804,0.343,173.746,287546,4,0
0.525,0.608,8,-6.03,1,0.0289,0.303,0.0,0.323,114.868,175304,4,0
0.466,0.548,5,-9.362,0,0.118,0.42,1.01e-06,0.113,89.815,307151,4,0
0.722,0.675,1,-5.61,0,0.0776,0.873,0.118,0.305,120.012,212000,4,0
0.793,0.456,5,-10.302,1,0.264,0.112,0.000416,0.311,97.008,251560,4,0
